formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Tamra Bhasma,"liver disorders indigestion obesity cough respiratory problems toxin accumulation","copper purified metal","purify and calcine copper to obtain fine ash","15–30 mg","bhasma","","general physician hepatologist","supports liver health improves digestion and aids in detoxification"
Tankan Bhasma,"cough asthma throat infection indigestion bloating","borax mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","general physician pulmonologist","relieves cough supports respiratory health and improves digestion"
Trivang Bhasma,"diabetes urinary disorders weakness fatigue reproductive disorders","lead tin zinc metals","purify and calcine metals to obtain fine ash","125–250 mg","bhasma","","general physician endocrinologist","manages diabetes supports urinary health and improves vitality"
Vaikranta Bhasma,"weakness fatigue low immunity skin disorders anxiety","tourmaline mineral","purify and calcine mineral to obtain fine ash","125–250 mg","bhasma","","general physician dermatologist","boosts immunity improves skin health and reduces stress"
Vajra Bhasma,"weakness low immunity infertility respiratory disorders fatigue","diamond purified mineral","purify and calcine diamond to obtain fine ash","15–30 mg","bhasma","","general physician pulmonologist","enhances vitality improves immunity and supports respiratory function"
Vanga Bhasma,"diabetes urinary disorders reproductive issues weakness fatigue","tin purified metal","purify and calcine metal to obtain fine ash","125–250 mg","bhasma","","general physician endocrinologist","manages diabetes supports urinary and reproductive health"
Yashad Bhasma,"diabetes skin disorders wound healing low immunity weakness","zinc purified metal","purify and calcine metal to obtain fine ash","125–250 mg","bhasma","","general physician dermatologist","improves immunity supports skin healing and manages diabetes"
Yavakshar,"indigestion bloating gas abdominal pain urinary disorders kidney stones","barley ash extract","prepare alkaline extract from plant ash","125–250 mg","kshara","","general physician gastroenterologist","improves digestion relieves gas and supports urinary health"
Ajmodadi Churna,"indigestion bloating gas abdominal pain poor digestion","ajmoda herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and reduces bloating"
Amalaki Churna,"acidity indigestion weakness low immunity anemia","amla powder","dry and grind amla into fine powder","3–5 g","churna","","general physician","boosts immunity improves digestion and reduces acidity"
Amrutadi Churna,"fever low immunity indigestion toxin accumulation weakness","giloy herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","general physician","reduces fever boosts immunity and detoxifies body"
Ashwagandhadi Churna,"stress anxiety weakness fatigue insomnia low immunity","ashwagandha herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","general physician neurologist","reduces stress improves strength and boosts immunity"
Avipattikar Churna,"acidity indigestion bloating constipation burning sensation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","reduces acidity improves digestion and relieves constipation"
Brihat Gangadhara Churna,"diarrhea dysentery abdominal pain indigestion inflammation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","controls diarrhea improves digestion and reduces inflammation"
Chopchinyadi Churna,"skin disorders itching inflammation toxin accumulation joint pain","chopchini herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Dadimashtaka Churna,"indigestion bloating gas diarrhea abdominal pain loss of appetite","pomegranate herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and controls diarrhea"
Dasanakanti Churnam,"gum disease bad breath dental infection bleeding gums","herbal blend powder","mix herbal powders use for brushing","2–3 g","churna","","dentist","improves oral health strengthens gums and reduces bad breath"
Drakshadi Churna,"constipation indigestion bloating abdominal pain weakness","grapes herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","general physician gastroenterologist","relieves constipation improves digestion and supports gut health"
Eladi Churna,"skin disorders itching allergy inflammation toxin accumulation","ela herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","dermatologist general physician","treats skin conditions reduces itching and detoxifies body"
Gokshuradi Churna,"urinary disorders kidney problems swelling edema reproductive issues","gokshura herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","general physician urologist","supports kidney health reduces swelling and improves urinary function"
Gudmandoor,"anemia weakness fatigue liver disorders indigestion","mandur iron herbs jaggery","prepare herbal mixture process ingredients","3–5 g","churna","","general physician hematologist","improves hemoglobin supports liver and boosts strength"
Guggulu Panchapala Churnam,"obesity weight gain joint pain inflammation toxin accumulation","guggulu herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician orthopedist","reduces weight improves metabolism and relieves joint pain"
Haridra Khand,"allergy itching skin disorders asthma cough inflammation","turmeric herbs sugar ghee","prepare herbal mixture cook ingredients store","5–10 g","churna","","dermatologist general physician","treats allergies improves skin health and reduces inflammation"
Himratnakar Churna,"indigestion bloating gas abdominal pain poor digestion","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and reduces bloating"
Hinguvachadi Churna,"indigestion bloating gas abdominal pain constipation","hing herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","relieves gas improves digestion and reduces abdominal pain"
Hingwadi Churna,"indigestion bloating gas abdominal pain poor digestion","hing herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and reduces bloating"
Hingwashtak Churna,"indigestion bloating gas abdominal pain constipation","hing spices powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and supports gut health"
Intuppukana Churna,"indigestion bloating gas abdominal pain constipation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Jatiphala Churna,"diarrhea indigestion abdominal pain insomnia anxiety","nutmeg powder","dry and grind nutmeg into fine powder","1–2 g","churna","","general physician neurologist","controls diarrhea calms mind and improves digestion"
Karpooradi Churna,"indigestion nausea vomiting bloating gas abdominal pain","camphor herbs powder","mix herbal powders store in airtight container","1–2 g","churna","","general physician gastroenterologist","improves digestion relieves nausea and reduces bloating"
Koladi Mandoor,"anemia weakness fatigue liver disorders indigestion","mandur iron herbs","prepare herbal mixture process ingredients","3–5 g","churna","","general physician hematologist","improves hemoglobin supports liver and boosts strength"
Ksheer Mandoor,"anemia weakness fatigue low hemoglobin digestive weakness","mandur iron milk processed herbs","prepare herbal mixture process ingredients","3–5 g","churna","","general physician hematologist","treats anemia improves strength and supports digestion"
Lakshadi Churna,"bone fracture joint pain calcium deficiency weakness","laksha herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","orthopedist general physician","supports bone healing strengthens joints and improves calcium levels"
Lavan Bhaskar Churna,"indigestion bloating gas abdominal pain loss of appetite","salts spices herbal blend","mix powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Lavangadi Churna,"cough cold sore throat respiratory problems bad breath","clove herbs powder","mix herbal powders store in airtight container","1–2 g","churna","","general physician pulmonologist","relieves cough improves throat health and freshens breath"
Narayana Churna,"constipation indigestion bloating abdominal pain toxin accumulation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","relieves constipation improves digestion and detoxifies body"
Narikel Lavan,"indigestion bloating gas abdominal pain loss of appetite","coconut salt herbal blend","prepare mixture process ingredients store","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Nasika Churna,"sinusitis nasal congestion headache respiratory blockage","herbal blend powder","prepare fine powder for nasal use","1–2 g","churna","","general physician ent specialist","clears nasal passages relieves sinus and improves breathing"
Navayasa Churna,"anemia fatigue weakness low hemoglobin indigestion","iron herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician hematologist","improves hemoglobin treats anemia and boosts strength"
Nimbadi Churna,"skin disorders itching infection inflammation acne toxin accumulation","neem herbs powder","dry and grind herbs into fine powder","3–5 g","churna","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Nimbaharidradi Churnam,"skin disorders itching allergy inflammation infection","neem turmeric herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","dermatologist general physician","reduces skin issues treats allergies and detoxifies body"
Nirvedan Churna,"pain inflammation joint pain muscle pain arthritis","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician orthopedist","relieves pain reduces inflammation and improves mobility"
Panchakola Churna,"indigestion bloating gas abdominal pain poor digestion loss of appetite","pippali pippalimool chavya chitrak nagarmotha powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","stimulates digestion relieves gas and improves appetite"
Panchasama Churna,"indigestion bloating gas abdominal pain constipation toxin accumulation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Panchsakar Churna,"constipation indigestion bloating abdominal pain toxin accumulation","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Pathyadi Churna,"headache migraine eye disorders indigestion toxin accumulation","haritaki herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician neurologist","relieves headache improves digestion and detoxifies body"
Pushyanug Churna,"leucorrhea menstrual disorders excessive bleeding uterine disorders weakness","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","gynecologist general physician","controls bleeding supports uterine health and improves strength"
Rajanyadi Churna,"cough cold fever respiratory problems low immunity","turmeric herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician pulmonologist","boosts immunity relieves cough and supports respiratory health"
Saraswata Churna,"memory loss stress anxiety poor concentration speech disorders neurological weakness","brahmi herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","neurologist psychiatrist","improves memory enhances speech and supports brain function"
Shivakshar Pachan Churna,"indigestion bloating gas abdominal pain loss of appetite","herbal alkaline blend","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Shringyadi Churna,"cough cold fever respiratory problems throat infection","shringa herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician pulmonologist","relieves cough reduces fever and supports respiratory health"
Sitopaladi Churna,"cough cold sore throat fever respiratory problems weakness","sugar bamboo manna pippali ela herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician pulmonologist","relieves cough soothes throat and boosts immunity"
Sudarshan Churna,"fever chronic fever toxin accumulation indigestion low immunity infection","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician","reduces fever detoxifies body and boosts immunity"
Talisadi Churna,"cough asthma bronchitis respiratory problems indigestion","talispatra herbs powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician pulmonologist","supports lungs relieves cough and improves digestion"
Trikatu Churna,"indigestion bloating gas obesity poor metabolism toxin accumulation","black pepper long pepper ginger powder","mix powders store in airtight container","1–3 g","churna","","general physician gastroenterologist","improves metabolism aids digestion and reduces toxins"
Triphala Churna,"constipation indigestion detoxification eye disorders bloating","amla haritaki bibhitaki powder","mix powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","relieves constipation detoxifies body and improves digestion"
Vaishvanara Churna,"indigestion bloating gas abdominal pain constipation poor digestion","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Vajra Kshara,"piles constipation abdominal pain indigestion bloating","alkaline herbal extract","prepare alkaline extract from plant ash","125–250 mg","kshara","","general physician gastroenterologist","relieves piles improves digestion and reduces constipation"
Yavani Khandav Churna,"indigestion bloating gas abdominal pain poor digestion","yavani ajwain herbs sugar","mix herbal powders store in airtight container","3–5 g","churna","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Yogaraja Churnam,"joint pain arthritis inflammation muscle pain stiffness indigestion","herbal blend powder","mix herbal powders store in airtight container","3–5 g","churna","","general physician orthopedist","reduces joint pain improves mobility and supports digestion"
Agnikandadi Ghrita,"indigestion bloating gas abdominal pain poor digestion loss of appetite","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion stimulates appetite and relieves bloating"
Amrita Prasha Ghrita,"low immunity weakness fatigue respiratory problems cough","giloy herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Amritabhallataka Ghrita,"skin disorders itching inflammation toxin accumulation arthritis","bhallatak herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin disorders reduces inflammation and detoxifies body"
Brahmi Ghrita,"memory loss stress anxiety insomnia neurological disorders","brahmi herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","neurologist psychiatrist","enhances memory calms mind and supports brain function"
Brihat Chagaladya Ghrita,"weakness fatigue respiratory problems tuberculosis low immunity","herbal blend goat milk ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","improves strength boosts immunity and supports respiratory health"
Changeri Ghrita,"indigestion diarrhea abdominal pain bloating inflammation","changeri herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion controls diarrhea and reduces inflammation"
Dadimadi Ghrita,"indigestion diarrhea loss of appetite abdominal pain bloating","pomegranate herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion controls diarrhea and enhances appetite"
Dhanwantaram Ghritam,"joint pain muscle weakness nerve disorders postnatal weakness fatigue","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician neurologist","supports nerves improves strength and aids recovery"
Dhatryadi Ghrita,"acidity indigestion burning sensation anemia weakness","amla herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","reduces acidity improves digestion and boosts strength"
Gopadmajadi Ghritam,"skin disorders wounds ulcers inflammation infection","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","heals wounds reduces inflammation and improves skin health"
Indukanta Ghritam,"indigestion bloating abdominal pain weakness fatigue low immunity","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion boosts immunity and enhances strength"
Jatyadi Ghrita,"wounds ulcers burns infection inflammation skin disorders","jatyadi herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","apply externally","ghrita","","dermatologist","heals wounds reduces infection and improves skin recovery"
Jeevantyadi Ghrita,"eye disorders vision problems dryness weakness","jeevanti herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","ophthalmologist general physician","improves vision nourishes eyes and reduces dryness"
Kalyanaka Ghrita,"mental disorders stress anxiety memory loss epilepsy insomnia","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","neurologist psychiatrist","improves mental health enhances memory and calms mind"
Kantakari Ghrita,"cough asthma bronchitis respiratory problems","kantakari herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","supports lungs relieves cough and improves breathing"
Karaskara Ghritam,"skin disorders itching infection inflammation toxin accumulation","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Kushmanda Ghritam,"weakness fatigue low immunity respiratory problems cough","ash gourd herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Lashunadya Ghrita,"indigestion bloating gas abdominal pain high cholesterol","garlic herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician cardiologist","improves digestion reduces cholesterol and supports heart health"
Maha Kalyanaka Ghrita,"mental disorders stress anxiety memory loss epilepsy insomnia neurological weakness","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","neurologist psychiatrist","enhances memory improves mental health and calms mind"
Maha Panchagavya Ghrita,"epilepsy mental disorders fever toxin accumulation neurological disorders","panchagavya herbs ghee","prepare medicated ghee by boiling ingredients with ghee filter store","5–10 g","ghrita","","neurologist general physician","supports brain function detoxifies body and reduces neurological issues"
Maha Shatpala Ghrita,"indigestion bloating gas abdominal pain constipation","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Maha Triphala Ghrita,"eye disorders vision problems constipation detoxification indigestion","triphala herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","ophthalmologist general physician","improves vision detoxifies body and supports digestion"
Mahapaishachika Ghrita,"mental disorders epilepsy psychosis anxiety insomnia","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","neurologist psychiatrist","supports brain health treats mental disorders and improves sleep"
Mahasneham Ghrita,"joint pain arthritis muscle stiffness inflammation","herbal blend ghee oils","prepare medicated ghee by processing herbs with fats filter store","5–10 g","ghrita","","general physician orthopedist","reduces joint pain improves mobility and relieves stiffness"
Mahatiktaka Ghrita,"skin disorders psoriasis eczema itching inflammation toxin accumulation","bitter herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases detoxifies body and reduces inflammation"
Mishraka Sneha,"indigestion constipation bloating abdominal pain toxin accumulation","herbal blend ghee oil","prepare medicated fat by processing herbs filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion relieves constipation and detoxifies body"
Narasimha Rasayanam,"weakness fatigue low immunity aging hair fall infertility low libido","herbal blend ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","rasayana","","general physician","rejuvenates body improves strength and supports longevity"
Nirgundi Ghrita,"joint pain arthritis inflammation swelling muscle pain","nirgundi herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician orthopedist","reduces pain relieves inflammation and improves mobility"
Palandava Ghritam,"indigestion bloating gas abdominal pain weakness","onion herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician gastroenterologist","improves digestion reduces bloating and enhances strength"
Panchagavya Ghrita,"epilepsy mental disorders fever toxin accumulation indigestion","panchagavya ghee","prepare medicated ghee by processing ingredients filter store","5–10 g","ghrita","","neurologist general physician","supports brain health detoxifies body and improves digestion"
Panchatikta Ghrita,"skin disorders eczema psoriasis itching inflammation toxin accumulation","bitter herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases detoxifies body and reduces inflammation"
Panchatikta Ghrita Guggulu,"joint pain arthritis inflammation bone disorders stiffness","bitter herbs guggulu ghee","prepare medicated formulation process ingredients store","5–10 g","ghrita","","general physician orthopedist","reduces joint pain improves bone health and relieves inflammation"
Pannalapatiryadi Ghrita,"eye disorders vision problems inflammation weakness","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","ophthalmologist general physician","improves vision reduces inflammation and nourishes eyes"
Patoladi Ghrita,"skin disorders itching fever toxin accumulation inflammation","patola herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases reduces fever and detoxifies body"
Phalasarpi,"infertility reproductive disorders weakness fatigue hormonal imbalance","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","gynecologist general physician","supports fertility improves strength and balances hormones"
Phalkalyan Ghrita,"infertility reproductive disorders weakness fatigue low immunity","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","gynecologist general physician","enhances fertility improves vitality and supports reproductive health"
Pippali Ghrita,"cough asthma respiratory problems indigestion weakness","pippali herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","supports lungs improves digestion and boosts immunity"
Pippalyadi Ghrita,"cough asthma bronchitis respiratory problems indigestion","pippali herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","relieves cough improves digestion and supports respiratory health"
Punkintoladi Ghrita,"skin disorders itching infection inflammation wounds","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases heals wounds and reduces inflammation"
Saraswatha Ghritam,"memory loss stress anxiety insomnia poor concentration neurological disorders","brahmi herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","neurologist psychiatrist","enhances memory improves concentration and calms mind"
Shata Dhauta Ghrita,"burns wounds skin dryness inflammation irritation","ghee processed multiple times with water","wash ghee repeatedly with water until smooth cream forms","apply externally","ghrita","","dermatologist","heals burns soothes skin and reduces inflammation"
Shatavaryadi Ghrita,"hormonal imbalance infertility weakness fatigue low immunity","shatavari herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","gynecologist general physician","supports hormones improves fertility and enhances strength"
Sukhaprasava Ghritham,"labor pain childbirth support weakness fatigue","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","gynecologist","supports childbirth eases labor and improves strength"
Sukumara Ghrita,"constipation abdominal pain bloating menstrual disorders","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","gynecologist general physician","relieves constipation supports digestion and regulates menstruation"
Tiktaka Ghritam,"skin disorders itching inflammation toxin accumulation fever","bitter herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","dermatologist general physician","treats skin diseases detoxifies body and reduces inflammation"
Trikantaka Ghrita,"urinary disorders kidney problems swelling edema","trikantaka herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician urologist","supports kidney health reduces swelling and improves urinary function"
Triphala Ghrita,"eye disorders vision problems constipation detoxification indigestion","triphala herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","ophthalmologist general physician","improves vision detoxifies body and supports digestion"
Vajraka Ghrita,"weakness fatigue low immunity infertility respiratory disorders","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician","enhances vitality improves immunity and supports overall health"
Vidaryadi Ghritam,"weakness fatigue low immunity infertility low libido","vidari herbs ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician","improves strength boosts immunity and supports reproductive health"
Vrisha Ghritam,"respiratory problems cough asthma bronchitis weakness","herbal blend ghee","prepare medicated ghee by boiling herbs with ghee filter store","5–10 g","ghrita","","general physician pulmonologist","supports lungs relieves cough and improves strength"
Amritadi Guggulu,"fever inflammation infection toxin accumulation low immunity indigestion","giloy guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician","reduces fever boosts immunity and detoxifies body"
Gokshuradi Guggulu,"urinary disorders kidney problems swelling edema reproductive issues","gokshura guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician urologist","supports kidney health reduces swelling and improves urinary function"
Kaishore Guggulu,"skin disorders gout inflammation joint pain toxin accumulation","guggulu triphala herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Kanchanar Guggulu,"thyroid disorders swelling cysts tumors lymph node enlargement","kanchanar guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician endocrinologist","reduces swelling supports thyroid health and treats cysts"
Lakshadi Guggul,"bone fracture joint pain calcium deficiency weakness","laksha guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","orthopedist general physician","supports bone healing strengthens joints and improves calcium levels"
Mahayograj Guggul,"arthritis joint pain muscle pain stiffness inflammation","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Navaka Guggulu,"obesity weight gain high cholesterol indigestion toxin accumulation","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician endocrinologist","reduces weight improves metabolism and detoxifies body"
Punarnavadi Guggulu,"kidney disorders swelling edema urinary problems inflammation","punarnava guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician nephrologist","reduces swelling supports kidney function and detoxifies body"
Saptavinshati Guggulu,"skin disorders infection wounds inflammation toxin accumulation","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","dermatologist general physician","treats skin infections heals wounds and reduces inflammation"
Simhanada Guggulu,"arthritis joint pain inflammation constipation toxin accumulation","guggulu herbs castor oil","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician orthopedist","relieves joint pain detoxifies body and improves bowel movement"
Swarna Mahayograj Guggul,"chronic arthritis joint pain weakness neurological disorders","guggulu gold herbs","prepare herbal mixture process ingredients store","125–250 mg","guggulu","","general physician neurologist","treats chronic arthritis improves strength and supports nerves"
Trayodashang Guggul,"nerve pain sciatica paralysis joint pain weakness","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","neurologist general physician","supports nerves relieves pain and improves mobility"
Triphala Guggulu,"constipation obesity piles inflammation toxin accumulation","triphala guggulu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician gastroenterologist","relieves constipation reduces weight and detoxifies body"
Vatari Guggulu,"arthritis joint pain inflammation stiffness gout","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Vyoshadi Guggulu,"cough asthma respiratory problems indigestion","guggulu trikatu herbs","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician pulmonologist","supports lungs improves digestion and relieves cough"
Yograj Guggulu,"arthritis joint pain muscle pain stiffness indigestion","guggulu herbal blend","prepare herbal mixture process ingredients store","250–500 mg","guggulu","","general physician orthopedist","relieves joint pain improves digestion and enhances mobility"
Amrutottara Kashayam,"fever headache indigestion inflammation toxin accumulation low immunity","giloy herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician","reduces fever relieves headache and detoxifies body"
Ashtavargam Kashayam,"weakness fatigue low immunity respiratory problems cough","ashtavarga herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Bala Punarnavadi Kashayam,"swelling edema kidney disorders weakness fatigue inflammation","bala punarnava herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician nephrologist","reduces swelling supports kidney function and improves strength"
Balajeerakadi Kwath,"postnatal weakness indigestion bloating gas abdominal pain","jeera bala herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","gynecologist general physician","supports postnatal recovery improves digestion and relieves bloating"
Bhadradarvadi Kashayam,"fever inflammation infection toxin accumulation","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician","reduces fever detoxifies body and treats infections"
Brahmi Drakshadi Kashayam,"memory loss stress anxiety insomnia weakness fatigue","brahmi draksha herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","neurologist general physician","improves memory reduces stress and boosts strength"
Brihatyadi Kashayam,"cough asthma respiratory problems fever chest congestion","brihati herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician pulmonologist","supports lungs relieves cough and improves breathing"
Chandanosiradi Kashayam,"burning sensation urinary disorders fever inflammation","sandalwood herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician urologist","cools body reduces burning sensation and supports urinary health"
Chiruvilwadi Kashayam,"indigestion abdominal pain bloating gas diarrhea","chiruvilwa herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","improves digestion relieves abdominal pain and supports gut health"
