formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Tankan Bhasma,cough asthma throat infection indigestion bloating,borax mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,general physician pulmonologist,relieves cough supports respiratory health and improves digestion,"Vata, Kapha"
Trivang Bhasma,diabetes urinary disorders weakness fatigue reproductive disorders,lead tin zinc metals,purify and calcine metals to obtain fine ash,125–250 mg,bhasma,,general physician endocrinologist,manages diabetes supports urinary health and improves vitality,Vata
Vaikranta Bhasma,weakness fatigue low immunity skin disorders anxiety,tourmaline mineral,purify and calcine mineral to obtain fine ash,125–250 mg,bhasma,,general physician dermatologist,boosts immunity improves skin health and reduces stress,Vata
Vajra Bhasma,weakness low immunity infertility respiratory disorders fatigue,diamond purified mineral,purify and calcine diamond to obtain fine ash,15–30 mg,bhasma,,general physician pulmonologist,enhances vitality improves immunity and supports respiratory function,Vata
Vanga Bhasma,diabetes urinary disorders reproductive issues weakness fatigue,tin purified metal,purify and calcine metal to obtain fine ash,125–250 mg,bhasma,,general physician endocrinologist,manages diabetes supports urinary and reproductive health,Vata
Yashad Bhasma,diabetes skin disorders wound healing low immunity weakness,zinc purified metal,purify and calcine metal to obtain fine ash,125–250 mg,bhasma,,general physician dermatologist,improves immunity supports skin healing and manages diabetes,Vata
Yavakshar,indigestion bloating gas abdominal pain urinary disorders kidney stones,barley ash extract,prepare alkaline extract from plant ash,125–250 mg,kshara,,general physician gastroenterologist,improves digestion relieves gas and supports urinary health,Vata
Ajmodadi Churna,indigestion bloating gas abdominal pain poor digestion,ajmoda herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and reduces bloating,Vata
Amalaki Churna,acidity indigestion weakness low immunity anemia,amla powder,dry and grind amla into fine powder,3–5 g,churna,,general physician,boosts immunity improves digestion and reduces acidity,"Vata, Pitta"
Amrutadi Churna,fever low immunity indigestion toxin accumulation weakness,giloy herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,general physician,reduces fever boosts immunity and detoxifies body,"Vata, Pitta"
Ashwagandhadi Churna,stress anxiety weakness fatigue insomnia low immunity,ashwagandha herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,general physician neurologist,reduces stress improves strength and boosts immunity,Vata
Avipattikar Churna,acidity indigestion bloating constipation burning sensation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,reduces acidity improves digestion and relieves constipation,Pitta
Brihat Gangadhara Churna,diarrhea dysentery abdominal pain indigestion inflammation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,controls diarrhea improves digestion and reduces inflammation,"Vata, Pitta"
Chopchinyadi Churna,skin disorders itching inflammation toxin accumulation joint pain,chopchini herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,"Vata, Pitta"
Dadimashtaka Churna,indigestion bloating gas diarrhea abdominal pain loss of appetite,pomegranate herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and controls diarrhea,Vata
Dasanakanti Churnam,gum disease bad breath dental infection bleeding gums,herbal blend powder,mix herbal powders use for brushing,2–3 g,churna,,dentist,improves oral health strengthens gums and reduces bad breath,Tridosha
Drakshadi Churna,constipation indigestion bloating abdominal pain weakness,grapes herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,general physician gastroenterologist,relieves constipation improves digestion and supports gut health,Vata
Eladi Churna,skin disorders itching allergy inflammation toxin accumulation,ela herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,dermatologist general physician,treats skin conditions reduces itching and detoxifies body,Pitta
Gokshuradi Churna,urinary disorders kidney problems swelling edema reproductive issues,gokshura herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,general physician urologist,supports kidney health reduces swelling and improves urinary function,Tridosha
Gudmandoor,anemia weakness fatigue liver disorders indigestion,mandur iron herbs jaggery,prepare herbal mixture process ingredients,3–5 g,churna,,general physician hematologist,improves hemoglobin supports liver and boosts strength,Vata
Guggulu Panchapala Churnam,obesity weight gain joint pain inflammation toxin accumulation,guggulu herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician orthopedist,reduces weight improves metabolism and relieves joint pain,"Vata, Pitta"
Haridra Khand,allergy itching skin disorders asthma cough inflammation,turmeric herbs sugar ghee,prepare herbal mixture cook ingredients store,5–10 g,churna,,dermatologist general physician,treats allergies improves skin health and reduces inflammation,"Pitta, Kapha"
Himratnakar Churna,indigestion bloating gas abdominal pain poor digestion,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and reduces bloating,Vata
Hinguvachadi Churna,indigestion bloating gas abdominal pain constipation,hing herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,relieves gas improves digestion and reduces abdominal pain,Vata
Hingwadi Churna,indigestion bloating gas abdominal pain poor digestion,hing herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and reduces bloating,Vata
Hingwashtak Churna,indigestion bloating gas abdominal pain constipation,hing spices powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and supports gut health,Vata
Intuppukana Churna,indigestion bloating gas abdominal pain constipation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Jatiphala Churna,diarrhea indigestion abdominal pain insomnia anxiety,nutmeg powder,dry and grind nutmeg into fine powder,1–2 g,churna,,general physician neurologist,controls diarrhea calms mind and improves digestion,Vata
Karpooradi Churna,indigestion nausea vomiting bloating gas abdominal pain,camphor herbs powder,mix herbal powders store in airtight container,1–2 g,churna,,general physician gastroenterologist,improves digestion relieves nausea and reduces bloating,Vata
Koladi Mandoor,anemia weakness fatigue liver disorders indigestion,mandur iron herbs,prepare herbal mixture process ingredients,3–5 g,churna,,general physician hematologist,improves hemoglobin supports liver and boosts strength,Vata
Ksheer Mandoor,anemia weakness fatigue low hemoglobin digestive weakness,mandur iron milk processed herbs,prepare herbal mixture process ingredients,3–5 g,churna,,general physician hematologist,treats anemia improves strength and supports digestion,Vata
Lakshadi Churna,bone fracture joint pain calcium deficiency weakness,laksha herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,orthopedist general physician,supports bone healing strengthens joints and improves calcium levels,Vata
Lavan Bhaskar Churna,indigestion bloating gas abdominal pain loss of appetite,salts spices herbal blend,mix powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Lavangadi Churna,cough cold sore throat respiratory problems bad breath,clove herbs powder,mix herbal powders store in airtight container,1–2 g,churna,,general physician pulmonologist,relieves cough improves throat health and freshens breath,Kapha
Narayana Churna,constipation indigestion bloating abdominal pain toxin accumulation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,relieves constipation improves digestion and detoxifies body,Vata
Narikel Lavan,indigestion bloating gas abdominal pain loss of appetite,coconut salt herbal blend,prepare mixture process ingredients store,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Nasika Churna,sinusitis nasal congestion headache respiratory blockage,herbal blend powder,prepare fine powder for nasal use,1–2 g,churna,,general physician ent specialist,clears nasal passages relieves sinus and improves breathing,Kapha
Navayasa Churna,anemia fatigue weakness low hemoglobin indigestion,iron herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician hematologist,improves hemoglobin treats anemia and boosts strength,Vata
Nimbadi Churna,skin disorders itching infection inflammation acne toxin accumulation,neem herbs powder,dry and grind herbs into fine powder,3–5 g,churna,,dermatologist general physician,treats skin diseases purifies blood and reduces inflammation,Pitta
Nimbaharidradi Churnam,skin disorders itching allergy inflammation infection,neem turmeric herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,dermatologist general physician,reduces skin issues treats allergies and detoxifies body,Pitta
Nirvedan Churna,pain inflammation joint pain muscle pain arthritis,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Panchakola Churna,indigestion bloating gas abdominal pain poor digestion loss of appetite,pippali pippalimool chavya chitrak nagarmotha powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Panchasama Churna,indigestion bloating gas abdominal pain constipation toxin accumulation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Panchsakar Churna,constipation indigestion bloating abdominal pain toxin accumulation,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,acts as laxative relieves constipation and detoxifies body,Vata
Pathyadi Churna,headache migraine eye disorders indigestion toxin accumulation,haritaki herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician neurologist,relieves headache improves digestion and detoxifies body,Tridosha
Pushyanug Churna,leucorrhea menstrual disorders excessive bleeding uterine disorders weakness,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,gynecologist general physician,controls bleeding supports uterine health and improves strength,Vata
Rajanyadi Churna,cough cold fever respiratory problems low immunity,turmeric herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician pulmonologist,boosts immunity relieves cough and supports respiratory health,Kapha
Saraswata Churna,memory loss stress anxiety poor concentration speech disorders neurological weakness,brahmi herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,neurologist psychiatrist,improves memory enhances speech and supports brain function,Vata
Shivakshar Pachan Churna,indigestion bloating gas abdominal pain loss of appetite,herbal alkaline blend,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Shringyadi Churna,cough cold fever respiratory problems throat infection,shringa herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician pulmonologist,relieves cough reduces fever and supports respiratory health,Kapha
Sitopaladi Churna,cough cold sore throat fever respiratory problems weakness,sugar bamboo manna pippali ela herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician pulmonologist,relieves cough soothes throat and boosts immunity,Kapha
Sudarshan Churna,fever chronic fever toxin accumulation indigestion low immunity infection,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician,reduces fever detoxifies body and boosts immunity,Pitta
Talisadi Churna,cough asthma bronchitis respiratory problems indigestion,talispatra herbs powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician pulmonologist,supports lungs relieves cough and improves digestion,Kapha
Trikatu Churna,indigestion bloating gas obesity poor metabolism toxin accumulation,black pepper long pepper ginger powder,mix powders store in airtight container,1–3 g,churna,,general physician gastroenterologist,improves metabolism aids digestion and reduces toxins,Vata
Triphala Churna,constipation indigestion detoxification eye disorders bloating,amla haritaki bibhitaki powder,mix powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,relieves constipation detoxifies body and improves digestion,Vata
Vaishvanara Churna,indigestion bloating gas abdominal pain constipation poor digestion,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Vajra Kshara,piles constipation abdominal pain indigestion bloating,alkaline herbal extract,prepare alkaline extract from plant ash,125–250 mg,kshara,,general physician gastroenterologist,relieves piles improves digestion and reduces constipation,Vata
Yavani Khandav Churna,indigestion bloating gas abdominal pain poor digestion,yavani ajwain herbs sugar,mix herbal powders store in airtight container,3–5 g,churna,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Yogaraja Churnam,joint pain arthritis inflammation muscle pain stiffness indigestion,herbal blend powder,mix herbal powders store in airtight container,3–5 g,churna,,general physician orthopedist,reduces joint pain improves mobility and supports digestion,"Vata, Pitta"
Agnikandadi Ghrita,indigestion bloating gas abdominal pain poor digestion loss of appetite,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion stimulates appetite and relieves bloating,Vata
Amrita Prasha Ghrita,low immunity weakness fatigue respiratory problems cough,giloy herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,boosts immunity improves strength and supports respiratory health,"Vata, Kapha"
Amritabhallataka Ghrita,skin disorders itching inflammation toxin accumulation arthritis,bhallatak herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin disorders reduces inflammation and detoxifies body,Pitta
Brahmi Ghrita,memory loss stress anxiety insomnia neurological disorders,brahmi herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,neurologist psychiatrist,enhances memory calms mind and supports brain function,Vata
Brihat Chagaladya Ghrita,weakness fatigue respiratory problems tuberculosis low immunity,herbal blend goat milk ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,improves strength boosts immunity and supports respiratory health,Vata
Changeri Ghrita,indigestion diarrhea abdominal pain bloating inflammation,changeri herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion controls diarrhea and reduces inflammation,Vata
Dadimadi Ghrita,indigestion diarrhea loss of appetite abdominal pain bloating,pomegranate herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion controls diarrhea and enhances appetite,Vata
Dhanwantaram Ghritam,joint pain muscle weakness nerve disorders postnatal weakness fatigue,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician neurologist,supports nerves improves strength and aids recovery,Vata
Dhatryadi Ghrita,acidity indigestion burning sensation anemia weakness,amla herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,reduces acidity improves digestion and boosts strength,Pitta
Gopadmajadi Ghritam,skin disorders wounds ulcers inflammation infection,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,heals wounds reduces inflammation and improves skin health,Pitta
Indukanta Ghritam,indigestion bloating abdominal pain weakness fatigue low immunity,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion boosts immunity and enhances strength,Vata
Jatyadi Ghrita,wounds ulcers burns infection inflammation skin disorders,jatyadi herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,apply externally,ghrita,,dermatologist,heals wounds reduces infection and improves skin recovery,Pitta
Jeevantyadi Ghrita,eye disorders vision problems dryness weakness,jeevanti herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,ophthalmologist general physician,improves vision nourishes eyes and reduces dryness,Vata
Kalyanaka Ghrita,mental disorders stress anxiety memory loss epilepsy insomnia,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,neurologist psychiatrist,improves mental health enhances memory and calms mind,Vata
Kantakari Ghrita,cough asthma bronchitis respiratory problems,kantakari herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Karaskara Ghritam,skin disorders itching infection inflammation toxin accumulation,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,Pitta
Kushmanda Ghritam,weakness fatigue low immunity respiratory problems cough,ash gourd herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,boosts immunity improves strength and supports respiratory health,"Vata, Kapha"
Lashunadya Ghrita,indigestion bloating gas abdominal pain high cholesterol,garlic herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician cardiologist,improves digestion reduces cholesterol and supports heart health,Vata
Maha Kalyanaka Ghrita,mental disorders stress anxiety memory loss epilepsy insomnia neurological weakness,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,neurologist psychiatrist,enhances memory improves mental health and calms mind,Vata
Maha Panchagavya Ghrita,epilepsy mental disorders fever toxin accumulation neurological disorders,panchagavya herbs ghee,prepare medicated ghee by boiling ingredients with ghee filter store,5–10 g,ghrita,,neurologist general physician,supports brain function detoxifies body and reduces neurological issues,Pitta
Maha Shatpala Ghrita,indigestion bloating gas abdominal pain constipation,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Maha Triphala Ghrita,eye disorders vision problems constipation detoxification indigestion,triphala herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,ophthalmologist general physician,improves vision detoxifies body and supports digestion,Tridosha
Mahapaishachika Ghrita,mental disorders epilepsy psychosis anxiety insomnia,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,neurologist psychiatrist,supports brain health treats mental disorders and improves sleep,Vata
Mahasneham Ghrita,joint pain arthritis muscle stiffness inflammation,herbal blend ghee oils,prepare medicated ghee by processing herbs with fats filter store,5–10 g,ghrita,,general physician orthopedist,reduces joint pain improves mobility and relieves stiffness,"Vata, Pitta"
Mahatiktaka Ghrita,skin disorders psoriasis eczema itching inflammation toxin accumulation,bitter herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases detoxifies body and reduces inflammation,Pitta
Mishraka Sneha,indigestion constipation bloating abdominal pain toxin accumulation,herbal blend ghee oil,prepare medicated fat by processing herbs filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion relieves constipation and detoxifies body,Vata
Narasimha Rasayanam,weakness fatigue low immunity aging hair fall infertility low libido,herbal blend ghee honey jaggery,prepare herbal paste cook ingredients store,5–10 g,rasayana,,general physician,rejuvenates body improves strength and supports longevity,Vata
Nirgundi Ghrita,joint pain arthritis inflammation swelling muscle pain,nirgundi herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician orthopedist,reduces pain relieves inflammation and improves mobility,"Vata, Pitta"
Palandava Ghritam,indigestion bloating gas abdominal pain weakness,onion herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician gastroenterologist,improves digestion reduces bloating and enhances strength,Vata
Panchagavya Ghrita,epilepsy mental disorders fever toxin accumulation indigestion,panchagavya ghee,prepare medicated ghee by processing ingredients filter store,5–10 g,ghrita,,neurologist general physician,supports brain health detoxifies body and improves digestion,Pitta
Panchatikta Ghrita,skin disorders eczema psoriasis itching inflammation toxin accumulation,bitter herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases detoxifies body and reduces inflammation,Pitta
Panchatikta Ghrita Guggulu,joint pain arthritis inflammation bone disorders stiffness,bitter herbs guggulu ghee,prepare medicated formulation process ingredients store,5–10 g,ghrita,,general physician orthopedist,reduces joint pain improves bone health and relieves inflammation,"Vata, Pitta"
Pannalapatiryadi Ghrita,eye disorders vision problems inflammation weakness,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,ophthalmologist general physician,improves vision reduces inflammation and nourishes eyes,"Vata, Pitta"
Patoladi Ghrita,skin disorders itching fever toxin accumulation inflammation,patola herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases reduces fever and detoxifies body,Pitta
Phalasarpi,infertility reproductive disorders weakness fatigue hormonal imbalance,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,gynecologist general physician,supports fertility improves strength and balances hormones,Vata
Phalkalyan Ghrita,infertility reproductive disorders weakness fatigue low immunity,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,gynecologist general physician,enhances fertility improves vitality and supports reproductive health,Vata
Pippali Ghrita,cough asthma respiratory problems indigestion weakness,pippali herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,supports lungs improves digestion and boosts immunity,"Vata, Kapha"
Pippalyadi Ghrita,cough asthma bronchitis respiratory problems indigestion,pippali herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,relieves cough improves digestion and supports respiratory health,Kapha
Punkintoladi Ghrita,skin disorders itching infection inflammation wounds,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases heals wounds and reduces inflammation,Pitta
Saraswatha Ghritam,memory loss stress anxiety insomnia poor concentration neurological disorders,brahmi herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,neurologist psychiatrist,enhances memory improves concentration and calms mind,Vata
Shata Dhauta Ghrita,burns wounds skin dryness inflammation irritation,ghee processed multiple times with water,wash ghee repeatedly with water until smooth cream forms,apply externally,ghrita,,dermatologist,heals burns soothes skin and reduces inflammation,"Vata, Pitta"
Shatavaryadi Ghrita,hormonal imbalance infertility weakness fatigue low immunity,shatavari herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,gynecologist general physician,supports hormones improves fertility and enhances strength,Vata
Sukhaprasava Ghritham,labor pain childbirth support weakness fatigue,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,gynecologist,supports childbirth eases labor and improves strength,Vata
Sukumara Ghrita,constipation abdominal pain bloating menstrual disorders,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,gynecologist general physician,relieves constipation supports digestion and regulates menstruation,Vata
Tiktaka Ghritam,skin disorders itching inflammation toxin accumulation fever,bitter herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,dermatologist general physician,treats skin diseases detoxifies body and reduces inflammation,Pitta
Trikantaka Ghrita,urinary disorders kidney problems swelling edema,trikantaka herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician urologist,supports kidney health reduces swelling and improves urinary function,Tridosha
Triphala Ghrita,eye disorders vision problems constipation detoxification indigestion,triphala herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,ophthalmologist general physician,improves vision detoxifies body and supports digestion,Tridosha
Vajraka Ghrita,weakness fatigue low immunity infertility respiratory disorders,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician,enhances vitality improves immunity and supports overall health,Vata
Vidaryadi Ghritam,weakness fatigue low immunity infertility low libido,vidari herbs ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician,improves strength boosts immunity and supports reproductive health,Vata
Vrisha Ghritam,respiratory problems cough asthma bronchitis weakness,herbal blend ghee,prepare medicated ghee by boiling herbs with ghee filter store,5–10 g,ghrita,,general physician pulmonologist,supports lungs relieves cough and improves strength,"Vata, Kapha"
Amritadi Guggulu,fever inflammation infection toxin accumulation low immunity indigestion,giloy guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician,reduces fever boosts immunity and detoxifies body,Pitta
Gokshuradi Guggulu,urinary disorders kidney problems swelling edema reproductive issues,gokshura guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician urologist,supports kidney health reduces swelling and improves urinary function,Tridosha
Kaishore Guggulu,skin disorders gout inflammation joint pain toxin accumulation,guggulu triphala herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,"Vata, Pitta"
Kanchanar Guggulu,thyroid disorders swelling cysts tumors lymph node enlargement,kanchanar guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician endocrinologist,reduces swelling supports thyroid health and treats cysts,Tridosha
Lakshadi Guggul,bone fracture joint pain calcium deficiency weakness,laksha guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,orthopedist general physician,supports bone healing strengthens joints and improves calcium levels,Vata
Mahayograj Guggul,arthritis joint pain muscle pain stiffness inflammation,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician orthopedist,reduces joint pain improves mobility and relieves inflammation,"Vata, Pitta"
Navaka Guggulu,obesity weight gain high cholesterol indigestion toxin accumulation,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician endocrinologist,reduces weight improves metabolism and detoxifies body,Tridosha
Punarnavadi Guggulu,kidney disorders swelling edema urinary problems inflammation,punarnava guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician nephrologist,reduces swelling supports kidney function and detoxifies body,Pitta
Saptavinshati Guggulu,skin disorders infection wounds inflammation toxin accumulation,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,dermatologist general physician,treats skin infections heals wounds and reduces inflammation,Pitta
Simhanada Guggulu,arthritis joint pain inflammation constipation toxin accumulation,guggulu herbs castor oil,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician orthopedist,relieves joint pain detoxifies body and improves bowel movement,"Vata, Pitta"
Swarna Mahayograj Guggul,chronic arthritis joint pain weakness neurological disorders,guggulu gold herbs,prepare herbal mixture process ingredients store,125–250 mg,guggulu,,general physician neurologist,treats chronic arthritis improves strength and supports nerves,Vata
Trayodashang Guggul,nerve pain sciatica paralysis joint pain weakness,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,neurologist general physician,supports nerves relieves pain and improves mobility,Vata
Triphala Guggulu,constipation obesity piles inflammation toxin accumulation,triphala guggulu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician gastroenterologist,relieves constipation reduces weight and detoxifies body,Pitta
Vatari Guggulu,arthritis joint pain inflammation stiffness gout,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician orthopedist,reduces joint pain improves mobility and relieves inflammation,"Vata, Pitta"
Vyoshadi Guggulu,cough asthma respiratory problems indigestion,guggulu trikatu herbs,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician pulmonologist,supports lungs improves digestion and relieves cough,Kapha
Yograj Guggulu,arthritis joint pain muscle pain stiffness indigestion,guggulu herbal blend,prepare herbal mixture process ingredients store,250–500 mg,guggulu,,general physician orthopedist,relieves joint pain improves digestion and enhances mobility,Vata
Amrutottara Kashayam,fever headache indigestion inflammation toxin accumulation low immunity,giloy herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician,reduces fever relieves headache and detoxifies body,Pitta
Ashtavargam Kashayam,weakness fatigue low immunity respiratory problems cough,ashtavarga herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician pulmonologist,boosts immunity improves strength and supports respiratory health,"Vata, Kapha"
Bala Punarnavadi Kashayam,swelling edema kidney disorders weakness fatigue inflammation,bala punarnava herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician nephrologist,reduces swelling supports kidney function and improves strength,"Vata, Pitta"
Balajeerakadi Kwath,postnatal weakness indigestion bloating gas abdominal pain,jeera bala herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,gynecologist general physician,supports postnatal recovery improves digestion and relieves bloating,Vata
Bhadradarvadi Kashayam,fever inflammation infection toxin accumulation,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician,reduces fever detoxifies body and treats infections,Pitta
